Dijkstra from v0
v0 -> v680: 23
v0 -> v681: 24
v0 -> v682: 12
v0 -> v683: 24
v0 -> v684: 24
v0 -> v685: 24
v0 -> v686: 25
v0 -> v687: 16
v0 -> v688: 20
v0 -> v689: 25
v0 -> v690: 25
v0 -> v691: 25
v0 -> v692: 24
v0 -> v693: 24
v0 -> v694: 24
v0 -> v695: 25
v0 -> v696: 12
v0 -> v697: 25
v0 -> v698: 26
v0 -> v699: 24
v0 -> v700: 12
v0 -> v701: 25
v0 -> v702: 24
v0 -> v703: 25
v0 -> v704: 24
v0 -> v705: 24
v0 -> v706: 24
v0 -> v707: 27
v0 -> v708: 12
v0 -> v709: 13
v0 -> v710: 26
v0 -> v711: 24
v0 -> v712: 36
v0 -> v713: 36
v0 -> v714: 24
v0 -> v715: 25
v0 -> v716: 24
v0 -> v717: 25
v0 -> v718: 24
v0 -> v719: 34
v0 -> v720: 35
v0 -> v721: 32
v0 -> v722: 36
v0 -> v723: 37
v0 -> v724: 12
v0 -> v725: 36
v0 -> v726: 24
v0 -> v727: 36
v0 -> v728: 28
v0 -> v729: 30
v0 -> v730: 36
v0 -> v731: 24
v0 -> v732: 25
v0 -> v733: 12
v0 -> v734: 25
v0 -> v735: 12
v0 -> v736: 26
v0 -> v737: 24
v0 -> v738: 25
v0 -> v739: 29
v0 -> v740: 26
v0 -> v741: 26
v0 -> v742: 26
v0 -> v743: 12
v0 -> v744: 25
v0 -> v745: 24
v0 -> v746: 12
v0 -> v747: 24
v0 -> v748: 33
v0 -> v749: 25
v0 -> v750: 26
v0 -> v751: 24
v0 -> v752: 12
v0 -> v753: 24
v0 -> v754: 36
v0 -> v755: 40
v0 -> v756: 28
v0 -> v757: 34
v0 -> v758: 25
v0 -> v759: 26
v0 -> v760: 34
v0 -> v761: 25
v0 -> v762: 25
v0 -> v763: 25
v0 -> v764: 33
v0 -> v765: 26
v0 -> v766: 25
v0 -> v767: 26
v0 -> v768: 25
v0 -> v769: 27
v0 -> v770: 26
v0 -> v771: 25
v0 -> v772: 25
v0 -> v773: 24
v0 -> v774: 22
v0 -> v775: 48
v0 -> v776: 18
v0 -> v777: 36
v0 -> v778: 27
v0 -> v779: 24
v0 -> v780: 26
v0 -> v781: 42
v0 -> v782: 14
v0 -> v783: 35
v0 -> v784: 25
v0 -> v785: 46
v0 -> v786: 24
v0 -> v787: 49
v0 -> v788: 57
v0 -> v789: 57
v0 -> v790: 45
v0 -> v791: 24
v0 -> v792: 24
v0 -> v793: 49
v0 -> v794: 45
v0 -> v795: 12
v0 -> v796: 44
v0 -> v797: 13
v0 -> v798: 25
v0 -> v799: 27
v0 -> v800: 21
v0 -> v801: 26
v0 -> v802: 27
v0 -> v803: 12
v0 -> v804: 33
v0 -> v805: 45
v0 -> v806: 25
v0 -> v807: 33
v0 -> v808: 28
v0 -> v809: 12
v0 -> v810: 35
v0 -> v811: 25
v0 -> v812: 24
v0 -> v813: 33
v0 -> v814: 24
v0 -> v815: 15
v0 -> v816: 12
v0 -> v817: 32
v0 -> v818: 45
v0 -> v819: 46
v0 -> v820: 14
v0 -> v821: 24
v0 -> v822: 46
v0 -> v823: 22
v0 -> v824: 35
v0 -> v825: 25
v0 -> v826: 45
v0 -> v827: 57
v0 -> v828: 48
v0 -> v829: 25
v0 -> v830: 44
v0 -> v831: 25
v0 -> v832: 33
v0 -> v833: 45
v0 -> v834: 46
v0 -> v835: 45
v0 -> v836: 46
v0 -> v837: 44
v0 -> v838: 24
v0 -> v839: 23
v0 -> v840: 24
v0 -> v841: 25
v0 -> v842: 39
v0 -> v843: 36
v0 -> v844: 36
v0 -> v845: 12
v0 -> v846: 26
v0 -> v847: 25
v0 -> v848: 28
v0 -> v849: 27
v0 -> v850: 24
v0 -> v851: 41
v0 -> v852: 25
v0 -> v853: 24
v0 -> v854: 51
v0 -> v855: 27
v0 -> v856: 25
v0 -> v857: 34
v0 -> v858: 25
v0 -> v859: 24
v0 -> v860: 41
v0 -> v861: 25
v0 -> v862: 24
v0 -> v863: 36
v0 -> v864: 27
v0 -> v865: 27
v0 -> v866: 50
v0 -> v867: 31
v0 -> v868: 25
v0 -> v869: 25
v0 -> v870: 26
v0 -> v871: 25
v0 -> v872: 46
v0 -> v873: 12
v0 -> v874: 36
v0 -> v875: 24
v0 -> v876: 25
v0 -> v877: 27
v0 -> v878: 26
v0 -> v879: 44
v0 -> v880: 24
v0 -> v881: 22
v0 -> v882: 24
v0 -> v883: 25
v0 -> v884: 24
v0 -> v885: 26
v0 -> v886: 37
v0 -> v887: 15
v0 -> v888: 35
v0 -> v889: 24
v0 -> v890: 12
v0 -> v891: 28
v0 -> v892: 24
v0 -> v893: 24
v0 -> v894: 36
v0 -> v895: 12
v0 -> v896: 26
v0 -> v897: 25
v0 -> v898: 34
v0 -> v899: 25
v0 -> v900: 47
v0 -> v901: 25
v0 -> v902: 35
v0 -> v903: 24
v0 -> v904: 23
v0 -> v905: 25
v0 -> v906: 34
v0 -> v907: 25
v0 -> v908: 34
v0 -> v909: 26
v0 -> v910: 24
v0 -> v911: 25
v0 -> v912: 36
v0 -> v913: 26
v0 -> v914: 24
v0 -> v915: 36
v0 -> v916: 25
v0 -> v917: 24
v0 -> v918: 36
v0 -> v919: 27
v0 -> v920: 36
v0 -> v921: 32
v0 -> v922: 47
v0 -> v923: 28
v0 -> v924: 36
v0 -> v925: 31
v0 -> v926: 28
v0 -> v927: 45
v0 -> v928: 40
v0 -> v929: 37
v0 -> v930: 26
v0 -> v931: 31
v0 -> v932: 25
v0 -> v933: 36
v0 -> v934: 26
v0 -> v935: 52
v0 -> v936: 16
v0 -> v937: 27
v0 -> v938: 24
v0 -> v939: 24
v0 -> v940: 17
v0 -> v941: 25
v0 -> v942: 24
v0 -> v943: 12
v0 -> v944: 24
v0 -> v945: 24
v0 -> v946: 26
v0 -> v947: 43
v0 -> v948: 23
v0 -> v949: 43
v0 -> v950: 12
v0 -> v951: 27
v0 -> v952: 27
v0 -> v953: 25
v0 -> v954: 12
v0 -> v955: 31
v0 -> v956: 24
v0 -> v957: 12
v0 -> v958: 37
v0 -> v959: 24
v0 -> v960: 26
v0 -> v961: 24
v0 -> v962: 53
v0 -> v963: 14
v0 -> v964: 30
v0 -> v965: 25
v0 -> v966: 25
v0 -> v967: 32
v0 -> v968: 26
v0 -> v969: 33
v0 -> v970: 37
v0 -> v971: 36
v0 -> v972: 35
v0 -> v973: 36
v0 -> v974: 26
v0 -> v975: 35
v0 -> v976: 32
v0 -> v977: 45
v0 -> v978: 28
v0 -> v979: 26
v0 -> v980: 24
v0 -> v981: 24
v0 -> v982: 24
v0 -> v983: 25
v0 -> v984: 43
v0 -> v985: 24
v0 -> v986: 24
v0 -> v987: 24
v0 -> v988: 36
v0 -> v989: 25
v0 -> v990: 37
v0 -> v991: 24
v0 -> v992: 27
v0 -> v993: 12
v0 -> v994: 30
v0 -> v995: 35
v0 -> v996: 38
v0 -> v997: 34
v0 -> v998: 32
v0 -> v999: 38
v0 -> v1000: 36
v0 -> v1001: 34
v0 -> v1002: 26
v0 -> v1003: 34
v0 -> v1004: 33
v0 -> v1005: 28
v0 -> v1006: 36
v0 -> v1007: 37
v0 -> v1008: 25
v0 -> v1009: 26
v0 -> v1010: 24
v0 -> v1011: 36
v0 -> v1012: 28
v0 -> v1013: 27
v0 -> v1014: 38
v0 -> v1015: 36
v0 -> v1016: 41
v0 -> v1017: 26
v0 -> v1018: 42
v0 -> v1019: 24
v0 -> v1020: 26
v0 -> v1021: 24
v0 -> v1022: 25
v0 -> v1023: 12
v0 -> v1024: 12
v0 -> v1025: 38
v0 -> v1026: 25
v0 -> v1027: 18
v0 -> v1028: 12
v0 -> v1029: 25
v0 -> v1030: 26
v0 -> v1031: 23
v0 -> v1032: 25
v0 -> v1033: 12
v0 -> v1034: 26
v0 -> v1035: 28
v0 -> v1036: 39
v0 -> v1037: 25
v0 -> v1038: 24
v0 -> v1039: 26
v0 -> v1040: 25
v0 -> v1041: 32
v0 -> v1042: 12
v0 -> v1043: 25
v0 -> v1044: 24
v0 -> v1045: 24
v0 -> v1046: 25
v0 -> v1047: 25
v0 -> v1048: 28
v0 -> v1049: 31
v0 -> v1050: 12
v0 -> v1051: 31
v0 -> v1052: 24
v0 -> v1053: 25
v0 -> v1054: 36
v0 -> v1055: 24
v0 -> v1056: 26
v0 -> v1057: 37
v0 -> v1058: 26
v0 -> v1059: 12
v0 -> v1060: 12
v0 -> v1061: 32
v0 -> v1062: 12
v0 -> v1063: 27
v0 -> v1064: 24
v0 -> v1065: 12
v0 -> v1066: 25
v0 -> v1067: 24
v0 -> v1068: 42
v0 -> v1069: 25
v0 -> v1070: 24
v0 -> v1071: 12
v0 -> v1072: 38
v0 -> v1073: 26
v0 -> v1074: 25
v0 -> v1075: 27
v0 -> v1076: 36
